time_step,best_bid,best_ask,assets,ema_swim_bid,cash,total_profit
189,2.4034,2.4035,0,49.28104999999999,2.4032300763478562,1.000022321451219
190,2.4033,2.4034,0,49.28104999999999,2.4032514105527776,1.000022321451219
191,2.4032,2.4033,0,49.28104999999999,2.403264424528713,1.000022321451219
192,2.4024,2.4025,0,49.28104999999999,2.403231371126041,1.000022321451219
193,2.4029,2.403,0,49.28104999999999,2.403220759038116,1.000022321451219
194,2.4029,2.403,0,49.28104999999999,2.4032075468308207,1.000022321451219
195,2.4031,2.4032,0,49.28104999999999,2.4031958624448886,1.000022321451219
196,2.4031,2.4032,0,49.28104999999999,2.403186008244453,1.000022321451219
197,2.4028,2.4029,0,49.28104999999999,2.403173244998397,1.000022321451219
198,2.4031,2.4032,0,49.28104999999999,2.403162552375874,1.000022321451219
199,2.4036,2.4037,0,49.28104999999999,2.4031594715217794,1.000022321451219
200,2.4037,2.4038,0,49.28104999999999,2.403179630590383,1.000022321451219
201,2.4041,2.4042,0,49.28104999999999,2.4032696578442105,1.000022321451219
202,2.4013,2.4014,0,49.28104999999999,2.402284828922105,1.000022321451219
203,2.4002,2.4003,0,49.28104999999999,2.4012424144610525,1.000022321451219
204,2.3996,2.3997,0,49.28104999999999,2.400421207230526,1.000022321451219
205,2.3999,2.4,0,49.28104999999999,2.400160603615263,1.000022321451219
206,2.3999,2.4,0,49.28104999999999,2.400056362169158,1.000022321451219
207,2.4002,2.4003,0,49.28104999999999,2.4000974015493988,1.000022321451219
208,2.4011,2.4012,0,49.28104999999999,2.400596163504302,1.000022321451219
209,2.4019,2.402,0,49.28104999999999,2.400918733076371,1.000022321451219
210,2.4016,2.4017,0,49.28104999999999,2.401112626712547,1.000022321451219
211,2.4019,2.402,0,49.28104999999999,2.4012333463234743,1.000022321451219
212,2.4023,2.4024,0,49.28104999999999,2.4013701834907675,1.000022321451219
213,2.4011,2.4012,0,49.28104999999999,2.4013998865538793,1.000022321451219
214,2.4009,2.401,0,49.28104999999999,2.4013966172910077,1.000022321451219
215,2.4011,2.4012,0,49.28104999999999,2.401363633666993,1.000022321451219
216,2.4012,2.4013,0,49.28104999999999,2.4013533176347597,1.000022321451219
217,2.4015,2.4016,0,49.28104999999999,2.4013512608649252,1.000022321451219
218,2.4015,2.4016,0,49.28104999999999,2.401354506002681,1.000022321451219
219,2.4014,2.4015,0,49.28104999999999,2.4013578209564383,1.000022321451219
220,2.4016,2.4017,0,49.28104999999999,2.4013662423629074,1.000022321451219
221,2.4026,2.4027,0,49.28104999999999,2.401454796036347,1.000022321451219
222,2.403,2.4031,0,49.28104999999999,2.4022273980181734,1.000022321451219
223,2.403,2.4031,0,49.28104999999999,2.4026136990090867,1.000022321451219
224,2.4038,2.4039,0,49.28104999999999,2.403206849504543,1.000022321451219
225,2.4038,2.4039,0,49.28104999999999,2.403444109702726,1.000022321451219
226,2.4044,2.4045,0,49.28104999999999,2.403922054851363,1.000022321451219
227,2.4046,2.4047,0,49.28104999999999,2.404193232910818,1.000022321451219
228,2.4045,2.4046,0,49.28104999999999,2.4042954886072123,1.000022321451219
229,2.4035,2.4036,0,49.28104999999999,2.4041347876160986,1.000022321451219
230,2.4038,2.4039,0,49.28104999999999,2.4040174274176933,1.000022321451219
231,2.4031,2.4032,0,49.28104999999999,2.4037419809641487,1.000022321451219
232,2.4031,2.4032,0,49.28104999999999,2.4036051453274143,1.000022321451219
233,2.4027,2.4028,0,49.28104999999999,2.403494309819816,1.000022321451219
234,2.4027,2.4028,0,49.28104999999999,2.4034012277736756,1.000022321451219
235,2.4019,2.402,0,49.28104999999999,2.403169554974334,1.000022321451219
236,2.4022,2.4023,0,49.28104999999999,2.4028925392673814,1.000022321451219
237,2.4025,2.4026,0,49.28104999999999,2.4028565293599873,1.000022321451219
238,2.4032,2.4033,0,49.28104999999999,2.4028435599863682,1.000022321451219
239,2.4032,2.4033,0,49.28104999999999,2.4028652383741753,1.000022321451219
240,2.4035,2.4036,0,49.28104999999999,2.402922044973704,1.000022321451219
