timestamp,best_bid,best_ask
2025-02-06 16:18:46.097742,2.4038,2.4039
2025-02-06 16:18:47.400022,2.4037,2.4038
2025-02-06 16:18:48.685797,2.4037,2.4038
2025-02-06 16:18:49.972260,2.404,2.4041
2025-02-06 16:18:51.255797,2.4035,2.4036
2025-02-06 16:18:52.600225,2.4035,2.4036
2025-02-06 16:18:53.887210,2.4039,2.404
2025-02-06 16:18:55.173657,2.4037,2.4038
2025-02-06 16:18:56.456883,2.4043,2.4044
2025-02-06 16:18:57.740682,2.4039,2.404
2025-02-06 16:18:59.025730,2.4038,2.4039
2025-02-06 16:19:00.763091,2.4034,2.4035
2025-02-06 16:19:02.047915,2.403,2.4031
2025-02-06 16:19:03.333820,2.4025,2.4026
2025-02-06 16:19:04.622277,2.4028,2.4029
2025-02-06 16:19:05.909652,2.4019,2.402
2025-02-06 16:19:07.199773,2.4011,2.4012
2025-02-06 16:19:08.484333,2.4009,2.401
2025-02-06 16:19:09.769339,2.4006,2.4007
2025-02-06 16:19:11.053568,2.4011,2.4012
2025-02-06 16:19:12.339883,2.4005,2.4006
2025-02-06 16:19:13.624295,2.4011,2.4012
2025-02-06 16:19:14.908705,2.4016,2.4017
2025-02-06 16:19:16.192151,2.4023,2.4024
2025-02-06 16:19:17.477813,2.4023,2.4024
2025-02-06 16:19:18.760328,2.4017,2.4018
2025-02-06 16:19:20.045722,2.4022,2.4023
2025-02-06 16:19:21.329754,2.4015,2.4016
2025-02-06 16:19:22.614492,2.4009,2.401
2025-02-06 16:19:23.897921,2.4009,2.401
2025-02-06 16:19:25.181051,2.4015,2.4016
2025-02-06 16:19:26.464644,2.4019,2.402
2025-02-06 16:19:27.753051,2.4029,2.403
2025-02-06 16:19:29.038427,2.4029,2.403
2025-02-06 16:19:30.322454,2.4017,2.4018
2025-02-06 16:19:31.607564,2.4014,2.4015
2025-02-06 16:19:32.890700,2.4006,2.4007
2025-02-06 16:19:34.175349,2.4006,2.4007
2025-02-06 16:19:35.459143,2.4019,2.402
2025-02-06 16:19:36.745607,2.4027,2.4028
2025-02-06 16:19:38.028133,2.4027,2.4028
2025-02-06 16:19:39.312089,2.4031,2.4032
2025-02-06 16:19:40.595721,2.4031,2.4032
2025-02-06 16:19:41.878446,2.4031,2.4032
2025-02-06 16:19:43.163056,2.4027,2.4028
2025-02-06 16:19:44.447632,2.4027,2.4028
2025-02-06 16:19:45.730218,2.4022,2.4023
2025-02-06 16:19:47.014141,2.4026,2.4027
2025-02-06 16:19:48.298517,2.4019,2.402
2025-02-06 16:19:49.584256,2.4019,2.402
2025-02-06 16:19:50.866953,2.4019,2.402
2025-02-06 16:19:52.150228,2.4019,2.402
2025-02-06 16:19:53.437341,2.4027,2.4028
2025-02-06 16:19:54.719885,2.4023,2.4024
2025-02-06 16:19:56.004123,2.4022,2.4023
2025-02-06 16:19:57.290467,2.4024,2.4025
